,Failure Mode Original,CMPLNT_TXT,CAUSE_TXT,CORRECT_TXT,Concactenate,Filtered Concactenation,Ratio,Failure Mode,Failure Mode Classified,Classification Accuracy
31,Differential Bearing Failure," CUSTOMER SAID THE FRONT MFWD NOISE AND GROUIND UP SHIMS IN ENDING UP IN TRANSMISSION SUMP SCREEN SYSTEM, FOUND SHIM MATERIAL IN TRANS OIL REAR SCREEN ** POWERGARD WARRANTY**Extended Warranty (Powertrain) 60m/2000h 12 May 2016 446 2000 USD-500.0 "," POOR ASSEMBLY OF MFWD DIFFERENCIAL CARRIER SIDE BEARINGS CUPS AND CONES. DIFFERENCIAL SHIMS WILL SPIN WITH BEARING CUP, BEARING BORE MARGINALLY TO LARGE. SHIM SPIN OUT OF POSITION BY LOOSE ENDPLAY ADJUSTMENT FROM THE FACTORY.ETC/ "," DIAGNOSES AND FOUND SHIM MATERIAL IN TRANS OIL REAR ScREEN. cHEcKED SERVIcE ADVISOR FURTHER DIAGNOSES AND PARTS SYSTEM TO TRY IDENTIFY AND FIND LOcATION OF SHIM. LOOKED LIKE IT cAME OFF LEFT SIDE OF FRONT DIFFERENTIAL BEARING. REMOVE LEFT FRONT WHEELS, DRAIN FRONT AXLE AND REMOVE LEFT SIDE DIFF cOVER. FOUND THESE WERE THE SHIMS THAT WERE GROUND UP. ALL BEARINGS AND GEARS LOOKED VERY GOOD, SET UP BEARING PRELOAD ON DIFFERENTIAL AND REASSEMBLE. BASIcLY REcONDITIONED FRONT MFWD, AND cLEANED UP THE MESS THE GROUND UP SHIMS MADE IN THE HYDRAULIc SYSTEM. cUSTOMER PAID FOR THE OIL/FILTERS AS NEEDED, Extended WaRRanty (PoweRtRain) 60m/2000h 12 May 2016 427 2000 USD- 500.00 .... 16MARcH2015... R42766 is the shim that was missing and found chewed up in the tRansmission scReen. and this is fRom the fRont inneR diffeRencial Ring geaR quill and side beaRings set. the shim went thRu the geaRs and ended up in the scReen as a Result the side diffeRencial beaRings weRe loose, out of adustment. and RepaiRe, if the steeRing seals aRe not paid foR please note this on the cRedit memo and customeR will pay accoRdingly to teRms and conditions going foRwaRd, Thank You Tim LutheR. seR. mgR. 218-639- 1813 cell "," CUSTOMER SAID THE FRONT MFWD NOISE AND GROUIND UP SHIMS IN ENDING UP IN TRANSMISSION SUMP SCREEN SYSTEM, FOUND SHIM MATERIAL IN TRANS OIL REAR SCREEN ** POWERGARD WARRANTY**Extended Warranty (Powertrain) 60m/2000h 12 May 2016 446 2000 USD-500.0   POOR ASSEMBLY OF MFWD DIFFERENCIAL CARRIER SIDE BEARINGS CUPS AND CONES. DIFFERENCIAL SHIMS WILL SPIN WITH BEARING CUP, BEARING BORE MARGINALLY TO LARGE. SHIM SPIN OUT OF POSITION BY LOOSE ENDPLAY ADJUSTMENT FROM THE FACTORY.ETC/   DIAGNOSES AND FOUND SHIM MATERIAL IN TRANS OIL REAR ScREEN. cHEcKED SERVIcE ADVISOR FURTHER DIAGNOSES AND PARTS SYSTEM TO TRY IDENTIFY AND FIND LOcATION OF SHIM. LOOKED LIKE IT cAME OFF LEFT SIDE OF FRONT DIFFERENTIAL BEARING. REMOVE LEFT FRONT WHEELS, DRAIN FRONT AXLE AND REMOVE LEFT SIDE DIFF cOVER. FOUND THESE WERE THE SHIMS THAT WERE GROUND UP. ALL BEARINGS AND GEARS LOOKED VERY GOOD, SET UP BEARING PRELOAD ON DIFFERENTIAL AND REASSEMBLE. BASIcLY REcONDITIONED FRONT MFWD, AND cLEANED UP THE MESS THE GROUND UP SHIMS MADE IN THE HYDRAULIc SYSTEM. cUSTOMER PAID FOR THE OIL/FILTERS AS NEEDED, Extended WaRRanty (PoweRtRain) 60m/2000h 12 May 2016 427 2000 USD- 500.00 .... 16MARcH2015... R42766 is the shim that was missing and found chewed up in the tRansmission scReen. and this is fRom the fRont inneR diffeRencial Ring geaR quill and side beaRings set. the shim went thRu the geaRs and ended up in the scReen as a Result the side diffeRencial beaRings weRe loose, out of adustment. and RepaiRe, if the steeRing seals aRe not paid foR please note this on the cRedit memo and customeR will pay accoRdingly to teRms and conditions going foRwaRd, Thank You Tim LutheR. seR. mgR. 218-639- 1813 cell ",customer say front mfwd noise and grouind up shim in ending up in transmission sump screen system found shim material in trans oil rear screen powergard warranty**extended warranty powertrain 60m/2000h 12 may 2016 446 2000 usd-500.0 poor assembly of mfwd differencial carrier side bearing cup and cone differencial shim will spin with bearing cup bearing bore marginally to large shim spin out of position by loose endplay adjustment from factory.etc diagnosis and found shim material in trans oil rear screen checked service advisor further diagnosis and part system to try identify and find location of shim looked like it come off left side of front differential bearing remove left front wheel drain front axle and remove left side diff cover found these were shim that were ground up all bearing and gear looked very good set up bearing preload on differential and reassemble basicly reconditioned front mfwd and clean up mess ground up shim made in hydraulic system customer paid for oil/filters a needed extended warranty powertrain 60m/2000h 12 may 2016 427 2000 usd 500.00 16march2015 r42766 be shim that be miss and find chew up in transmission screen and this be from front inner differencial ring gear quill and side bearing set shim go thru gear and end up in screen a a result side differencial bearing be loose out of adustment and repaire if steering seal be not pay for please note this on credit memo and customer will pay accordingly to term and condition go forward thank you tim luther ser mgr 218-639 1813 cell,0.75,Wheel Hub Bearing Loose,False,0.2631578947368421
35,Differential Bearing Failure,  FOUND SHIM MATERIAL IN AXLE WHILE DRAINING OIL,  FOUND SHIM MATERIAL IN AXLE WHILE DRAINING OIL +REMOVED LH FENDER AND WHEELS +RELIEVED PRESSURE ON SUSPENSION SYSTEM +REMOVED LH SUSPENSION CYLINDER +DISCONNECTED SUSPENSION ARMS FROM KNUCKLE +REMOVED KNUCKLE AND DRIVE SHAFT +SUPPORTED UPPER SUSPENSION ARM +REMOVED LOWER SUSPENSION ARM +INSTALLED GUIDE PINS IN DIFF HOUSING +DRAINED DIFF (FOUND NO OTHER MATERIAL) +REMOVED DIFF COVER +INSPECTEDPARTS FOR DAMAGE +FOUND SHIMS BEHIND TAPERED ROLLER BEARING BADLY DAMAGED,"  +REMOVED LH FENDER AND WHEELS +RELIEVED PRESSURE ON SUSPENSION SYSTEM +REMOVED LH SUSPENSION cYLINDER +DIScONNEcTED SUSPENSION ARMSFROM KNUcKLE +REMOVED KNUcKLE AND DRIVE SHAFT +SUPPORTED UPPER SUSPENSION ARM +REMOVED LOWER SUSPENSION ARM +INSTALLED GUIDE PINS INDIFF HOUSING +DRAINED DIFF (FOUND NO OTHER MATERIAL) +REMOVED DIFF cOVER +INSPEcTED PARTS FOR DAMAGE +FOUND SHIMS BEHIND TAPERED ROLLER BEARING BADLY DAMAGED +cLEANED ALL GASKET SURFAcES +REMOVED DIFFERENTIAL +REMOVED BEARING RAcE AND SHIMS +cHEcKED SHIM PAcK THIcKNESS, .8MM LESS THAN SPEc +TO ALLOW PROPER cONE POINT ON RING AND PINION. +INSTALLED NEW SHIMS TO REPLAcE DAMAGED SHIMS +INSTALLEDDIFF, cOVER AND HOUSING +INSTALLED ALL REMOVED cOMPONENTS +TORQUED WHEELS +cHEcKED FOR LEAKS - OK","  FOUND SHIM MATERIAL IN AXLE WHILE DRAINING OIL   FOUND SHIM MATERIAL IN AXLE WHILE DRAINING OIL +REMOVED LH FENDER AND WHEELS +RELIEVED PRESSURE ON SUSPENSION SYSTEM +REMOVED LH SUSPENSION CYLINDER +DISCONNECTED SUSPENSION ARMS FROM KNUCKLE +REMOVED KNUCKLE AND DRIVE SHAFT +SUPPORTED UPPER SUSPENSION ARM +REMOVED LOWER SUSPENSION ARM +INSTALLED GUIDE PINS IN DIFF HOUSING +DRAINED DIFF (FOUND NO OTHER MATERIAL) +REMOVED DIFF COVER +INSPECTEDPARTS FOR DAMAGE +FOUND SHIMS BEHIND TAPERED ROLLER BEARING BADLY DAMAGED   +REMOVED LH FENDER AND WHEELS +RELIEVED PRESSURE ON SUSPENSION SYSTEM +REMOVED LH SUSPENSION cYLINDER +DIScONNEcTED SUSPENSION ARMSFROM KNUcKLE +REMOVED KNUcKLE AND DRIVE SHAFT +SUPPORTED UPPER SUSPENSION ARM +REMOVED LOWER SUSPENSION ARM +INSTALLED GUIDE PINS INDIFF HOUSING +DRAINED DIFF (FOUND NO OTHER MATERIAL) +REMOVED DIFF cOVER +INSPEcTED PARTS FOR DAMAGE +FOUND SHIMS BEHIND TAPERED ROLLER BEARING BADLY DAMAGED +cLEANED ALL GASKET SURFAcES +REMOVED DIFFERENTIAL +REMOVED BEARING RAcE AND SHIMS +cHEcKED SHIM PAcK THIcKNESS, .8MM LESS THAN SPEc +TO ALLOW PROPER cONE POINT ON RING AND PINION. +INSTALLED NEW SHIMS TO REPLAcE DAMAGED SHIMS +INSTALLEDDIFF, cOVER AND HOUSING +INSTALLED ALL REMOVED cOMPONENTS +TORQUED WHEELS +cHEcKED FOR LEAKS - OK",found shim material in axle while draining oil found shim material in axle while draining oil removed lh fender and wheel relieved pressure on suspension system removed lh suspension cylinder disconnected suspension arm from knuckle removed knuckle and drive shaft supported upper suspension arm removed lower suspension arm installed guide pin in diff housing drained diff found no other material removed diff cover inspectedparts for damage found shim behind tapered roller bearing badly damaged removed lh fender and wheel relieved pressure on suspension system removed lh suspension cylinder disconnected suspension armsfrom knuckle removed knuckle and drive shaft supported upper suspension arm removed lower suspension arm installed guide pin indiff housing drained diff found no other material removed diff cover inspected part for damage found shim behind tapered roller bearing badly damaged cleaned all gasket surface removed differential removed bearing race and shim checked shim pack thickness 8mm le than spec to allow proper cone point on ring and pinion instal new shim to replace damaged shim installeddiff cover and housing installed all removed component torqued wheel checked for leak ok,0.75,Wheel Hub Bearing Leak,False,0.2631578947368421
40,Kingpin Bearing Failure, Left steering knuckle bearings bad. , Bearing on lower left knuckle bad. Allowing axle and knuckle clearances to change. , Went to machine. SuppoRted machine. Removed kingpin. Installed new beaRing so that customeR could finish planting befoRe Rain. custo meR bRought machine to shop afteR planting. Removed left steeRing knuckle and wheel assembly. Removed old Races and seals. Installed new Races and seals. Installed knuckle. Installed new beaRings and shims with new loweR kingpin. GReased unit. Tested ok., Left steering knuckle bearings bad.   Bearing on lower left knuckle bad. Allowing axle and knuckle clearances to change.   Went to machine. SuppoRted machine. Removed kingpin. Installed new beaRing so that customeR could finish planting befoRe Rain. custo meR bRought machine to shop afteR planting. Removed left steeRing knuckle and wheel assembly. Removed old Races and seals. Installed new Races and seals. Installed knuckle. Installed new beaRings and shims with new loweR kingpin. GReased unit. Tested ok.,left steer knuckle bearing bad bear on low left knuckle bad allow axle and knuckle clearance to change went to machine supported machine remove kingpin instal new bearing so that customer could finish plant before rain custo mer bring machine to shop after plant remove leave steer knuckle and wheel assembly remove old race and seal instal new race and seal instal knuckle instal new bearing and shim with new low kingpin grease unit test ok,0.0,0,False,0.2631578947368421
53,Kingpin Bearing Failure, will not auto trackTechnician Comments: Autotrac won't engage. , Wheel angle sensor shaft snapped due to upper kingpin bearing failure. ," GeneRal RepaiRsTechnician comments: code foR no wheel angle sensoR movement. Pulled sensoR and shaft. Found shaft bRoken. At thispoint the machine was bRought to shop. Removed wheel fRom left fRont axle. Removed final dRive. Found uppeR kingpin beaRing failed.cleaned and axle and final dRive kingpin aReas at uppeR and loweR. Replaced beaRings, Races and seals including axle shaft seal. Reinstalled wheel, calibRated wheel angle sensoR and tested. All ok. "," will not auto trackTechnician Comments: Autotrac won't engage.   Wheel angle sensor shaft snapped due to upper kingpin bearing failure.   GeneRal RepaiRsTechnician comments: code foR no wheel angle sensoR movement. Pulled sensoR and shaft. Found shaft bRoken. At thispoint the machine was bRought to shop. Removed wheel fRom left fRont axle. Removed final dRive. Found uppeR kingpin beaRing failed.cleaned and axle and final dRive kingpin aReas at uppeR and loweR. Replaced beaRings, Races and seals including axle shaft seal. Reinstalled wheel, calibRated wheel angle sensoR and tested. All ok. ",will not auto tracktechnician comment autotrac wo n't engage wheel angle sensor shaft snap due to upper kingpin bearing failure general repairstechnician comment code for no wheel angle sensor movement pull sensor and shaft found shaft broken at thispoint machine be bring to shop remove wheel from leave front axle remove final drive found upper kingpin bearing failed.cleaned and axle and final drive kingpin area at upper and low replaced bearing race and seal include axle shaft seal reinstall wheel calibrate wheel angle sensor and test all ok,1.0,Kingpin Failure,False,0.2631578947368421
57,Kingpin Bearing Failure, CUSTOMER COMPLAINED THE RIGHT FRONT TIRE WAS LEANING. , TECH CHECKED THE TRACTOR AND DETERMINED THE KING PIN BEARINGS WERE BAD.THE LOWER KING PIN BEARING HAD FAILED. ," TEcH REMOVED THE TIRE AND THE STEERING KNUcKLE, REMOVED THE BEARINGS AND SEALS AND RAcES FOR THE KING PINS.TEcH REPLAcED THE KING P IN ALONG WITH THE RELATED SEALS,BEARING cUP AND cONES AND SHIMS. "," CUSTOMER COMPLAINED THE RIGHT FRONT TIRE WAS LEANING.   TECH CHECKED THE TRACTOR AND DETERMINED THE KING PIN BEARINGS WERE BAD.THE LOWER KING PIN BEARING HAD FAILED.   TEcH REMOVED THE TIRE AND THE STEERING KNUcKLE, REMOVED THE BEARINGS AND SEALS AND RAcES FOR THE KING PINS.TEcH REPLAcED THE KING P IN ALONG WITH THE RELATED SEALS,BEARING cUP AND cONES AND SHIMS. ",customer complained right front tire wa leaning tech checked tractor and determined king pin bearing were bad.the lower king pin bearing had failed tech removed tire and steering knuckle removed bearing and seal and race for king pins.tech replaced king p in along with related seal bearing cup and cone and shim,0.0,0,False,0.2631578947368421
62,MFWD Input Nut Loose, Operator reported that that on the tractor 8335R is not working front axel 1500. ," During the detail inspection was found unscrewing nut R262367 and broken bearing RE307077 , RE230445 which led to failure. "," Done diagnostic, Removing the old paRts and installing a new one."," Operator reported that that on the tractor 8335R is not working front axel 1500.   During the detail inspection was found unscrewing nut R262367 and broken bearing RE307077 , RE230445 which led to failure.   Done diagnostic, Removing the old paRts and installing a new one.",operator report that that on tractor 8335r be not work front axel 1500 during detail inspection be find unscrewing nut r262367 and broken bearing re307077 re230445 which lead to failure done diagnostic remove old part and instal a new one,0.0,0,False,0.2631578947368421
64,Kingpin Bearing Failure, Wheel harness error - Dominic already changed the harness and sensor and feels that it may be in the spindle Error codes HCC 523788.14 Scc 002 , Extended Power train Warranty FP # JD8930 Checked the tractor codes - steering wire harness error Checked the harness - found that there was extensive play in the axle not allowing the harness to make the proper connection. - found the axle tube bearing failed onthe right and left hand sides , Removed the tiRes and toRe down the axles - on the Right hand side the beaRing was completely gone and damaged the housing also - changed the failed beaRings and the affected seals - changed the housing that was damaged also. Re-assembled - Re-filled with oil andtested -opeRating coRRectly at this time. , Wheel harness error - Dominic already changed the harness and sensor and feels that it may be in the spindle Error codes HCC 523788.14 Scc 002   Extended Power train Warranty FP # JD8930 Checked the tractor codes - steering wire harness error Checked the harness - found that there was extensive play in the axle not allowing the harness to make the proper connection. - found the axle tube bearing failed onthe right and left hand sides   Removed the tiRes and toRe down the axles - on the Right hand side the beaRing was completely gone and damaged the housing also - changed the failed beaRings and the affected seals - changed the housing that was damaged also. Re-assembled - Re-filled with oil andtested -opeRating coRRectly at this time. ,wheel harness error dominic already change harness and sensor and feel that it may be in spindle error cod hcc 523788.14 scc 002 extended power train warranty fp jd8930 check tractor cod steer wire harness error check harness found that there be extensive play in axle not allow harness to make proper connection find axle tube bearing fail onthe right and left hand side remove tire and tear down axle on right hand side bearing be completely go and damage housing also change failed bearing and affected seal change housing that be damage also re-assembled re-filled with oil andtested operate correctly at this time,0.0,0,False,0.2631578947368421
66,Kingpin Bearing Failure, CUST STATES CHECK TRACTOR PLAY IN FRONT SUSPENSION , CHECKED AND FOUND FRONT LOWER KNUCKLE BEARINGS FAILING. , cHEcKED TRAcTOR AND FOUND EXcESSIVE PLAY IN FRONT END OF TRAcTOR. JAcKED UP TRAcTOR AND FOUND LOWER KNUcKLES WITH AN EXTREME AMOUNT OF PLAY. REMOVED TIRES AND AND WHEEL HUB ASSEMBLEY. REPAcED UPPER AND LOWER BEARING ASSEMBLIES ON LEFT FRONT OF TRAcTOR. ALSO RE PLAcED AXLE SHAFT SEAL. WHEN cHEcKING RIGHT SIDE THE BEARING HAD cOME APART AND cHEWED UP AXLE HOUSING. HAD TO REPLAcED AXLE HOUSI NG BEARINGS AND SEALS ON LEFT SIDE. INSTALLED WHEEL HUBS AND WHEELS. TESTED AND EVERYTHING OK AT THIS TIME. , CUST STATES CHECK TRACTOR PLAY IN FRONT SUSPENSION   CHECKED AND FOUND FRONT LOWER KNUCKLE BEARINGS FAILING.   cHEcKED TRAcTOR AND FOUND EXcESSIVE PLAY IN FRONT END OF TRAcTOR. JAcKED UP TRAcTOR AND FOUND LOWER KNUcKLES WITH AN EXTREME AMOUNT OF PLAY. REMOVED TIRES AND AND WHEEL HUB ASSEMBLEY. REPAcED UPPER AND LOWER BEARING ASSEMBLIES ON LEFT FRONT OF TRAcTOR. ALSO RE PLAcED AXLE SHAFT SEAL. WHEN cHEcKING RIGHT SIDE THE BEARING HAD cOME APART AND cHEWED UP AXLE HOUSING. HAD TO REPLAcED AXLE HOUSI NG BEARINGS AND SEALS ON LEFT SIDE. INSTALLED WHEEL HUBS AND WHEELS. TESTED AND EVERYTHING OK AT THIS TIME. ,cust state check tractor play in front suspension checked and found front lower knuckle bearing failing checked tractor and found excessive play in front end of tractor jacked up tractor and found lower knuckle with an extreme amount of play removed tire and and wheel hub assembley repaced upper and lower bearing assembly on left front of tractor also re placed axle shaft seal when checking right side bearing had come apart and chew up axle housing had to replaced axle housi ng bearing and seal on left side installed wheel hub and wheel tested and everything ok at this time,0.75,Wheel Hub Bearing Failure,False,0.2631578947368421
74,Kingpin Bearing Leak, Customer complaint when Differential lock is engaged the front axle filled with oil and over flows from vent. **********REVISED************ ADDED CAUSE COMMENTS ," Checked out unit, removed Diff lock hose and drained oil. Blew air into diff lock to engage and air would escape from housing. *********** NEW COMMENTS: Found thrust bearing failed, allowed piston to overextend. ", DRained oil fRom fRont diffeRential Jack up and suppoRt tRactoR Remove left hand duals Disconnect hoses foR diff lock and steeRing cylindeR Disconnect FRont tie Rod DRain oil fRom left planetaRy Removed planetaRy Remove Knuckle caps and Remove knuckle with axle shaft Removed housing bolts and Remove housing Remove diffeRential geaRs Removed beaRings and clutch disk Remove piston clean up paRts Replace paRts as needed Reassemble in ReveRse oRdeR Fill diffeRential to pRopeR level . 15 houRs ," Customer complaint when Differential lock is engaged the front axle filled with oil and over flows from vent. **********REVISED************ ADDED CAUSE COMMENTS   Checked out unit, removed Diff lock hose and drained oil. Blew air into diff lock to engage and air would escape from housing. *********** NEW COMMENTS: Found thrust bearing failed, allowed piston to overextend.   DRained oil fRom fRont diffeRential Jack up and suppoRt tRactoR Remove left hand duals Disconnect hoses foR diff lock and steeRing cylindeR Disconnect FRont tie Rod DRain oil fRom left planetaRy Removed planetaRy Remove Knuckle caps and Remove knuckle with axle shaft Removed housing bolts and Remove housing Remove diffeRential geaRs Removed beaRings and clutch disk Remove piston clean up paRts Replace paRts as needed Reassemble in ReveRse oRdeR Fill diffeRential to pRopeR level . 15 houRs ",customer complaint when differential lock be engage front axle fill with oil and over flow from vent revised added cause comment check out unit remove diff lock hose and drained oil blew air into diff lock to engage and air would escape from housing new comment found thrust bear fail allow piston to overextend drain oil from front differential jack up and support tractor remove leave hand duals disconnect hose for diff lock and steer cylinder disconnect front tie rod drain oil from leave planetary removed planetary remove knuckle cap and remove knuckle with axle shaft remove housing bolt and remove housing remove differential gear removed bearing and clutch disk remove piston clean up parts replace part a need reassemble in reverse order fill differential to proper level 15 hour,0.0,0,False,0.2631578947368421
78,Kingpin - Loose wheel hubs, MFWD KING PIN BEARING BROKE -- RIGHT SIDE , KING PIN BEARING BROKE ," JD9036 BEARING -- MFWD NOISE - RIGHT MFWD KNUcKLE HOUSING KING PIN BEARING BROKE -- FAILED BEARING RUINED KNUcKLE HOUSING & RIGHT HAND AXLE HOUSING R&R,fRont axle assembly - REMOVED LEFT HAND AXLE HOUSING - - STRIPPED ALL DIFFERENTIAL PARTS FROM RIGHT HANDHOUSING - REMOVED ALL PARTS FORM KNUcKLE HOUSING - - cLEAN & INSPEcT ALL PARTS - INSTALL DIFFERENTIAL HOUSING, GEARS, PINION SHAFT, SHIM ALL BEARING & PRELOADS - INSTALL ALL SEALS - REPLAcE SEAL IN KNUcKLE HOUSING - ASSEMBLE 1500 MFWD ASSEMBLY - INSTALL ONTRAcTOR - INSTALL TIRES & FENDERS - RUN & cHEcK FOR PROPER OPERATION LARRY, YOU ARE PROBABLY RIGHT ON HRS BEING HIGH. THIS BEING THE FIRST TIME TO REPLAcE A RIGHT SIDE HOUSING, WE HAD NOTHING TO GO ON AS FAR AS TIME GOES. TAKE INTO cONSIDERATION THAT THE RIGHT SIDE HOUSING cONTAINS DIFFERENTIAL, RING GEAR & PINION. IN REPLAcING THE HOUSING NEW RAcES & BEARINGS REPLAcED. TO GET cORREcT SHIM PAcKS FOR PRELOAD & END PLAY, DIFFERENTIAL HAD TO BE INSTALLED. USING SPEcIAL TOOLS TO DETERMINE cORREcT SHIM PAcKS AS DIScRIBED IN SERVIcE ADVISOR, DIFFERENTIAL DISASSEMBLED & SHIMS ADDED - PROcESS AGAIN TO ADD SHIMS. ALSO KING PIN BEARINGS ON KNUcKLE HOUSING HAD TO BE SHIMMED. NO GUIDE LINES ON SERVIcE MARKETING TIMES. "," MFWD KING PIN BEARING BROKE -- RIGHT SIDE   KING PIN BEARING BROKE   JD9036 BEARING -- MFWD NOISE - RIGHT MFWD KNUcKLE HOUSING KING PIN BEARING BROKE -- FAILED BEARING RUINED KNUcKLE HOUSING & RIGHT HAND AXLE HOUSING R&R,fRont axle assembly - REMOVED LEFT HAND AXLE HOUSING - - STRIPPED ALL DIFFERENTIAL PARTS FROM RIGHT HANDHOUSING - REMOVED ALL PARTS FORM KNUcKLE HOUSING - - cLEAN & INSPEcT ALL PARTS - INSTALL DIFFERENTIAL HOUSING, GEARS, PINION SHAFT, SHIM ALL BEARING & PRELOADS - INSTALL ALL SEALS - REPLAcE SEAL IN KNUcKLE HOUSING - ASSEMBLE 1500 MFWD ASSEMBLY - INSTALL ONTRAcTOR - INSTALL TIRES & FENDERS - RUN & cHEcK FOR PROPER OPERATION LARRY, YOU ARE PROBABLY RIGHT ON HRS BEING HIGH. THIS BEING THE FIRST TIME TO REPLAcE A RIGHT SIDE HOUSING, WE HAD NOTHING TO GO ON AS FAR AS TIME GOES. TAKE INTO cONSIDERATION THAT THE RIGHT SIDE HOUSING cONTAINS DIFFERENTIAL, RING GEAR & PINION. IN REPLAcING THE HOUSING NEW RAcES & BEARINGS REPLAcED. TO GET cORREcT SHIM PAcKS FOR PRELOAD & END PLAY, DIFFERENTIAL HAD TO BE INSTALLED. USING SPEcIAL TOOLS TO DETERMINE cORREcT SHIM PAcKS AS DIScRIBED IN SERVIcE ADVISOR, DIFFERENTIAL DISASSEMBLED & SHIMS ADDED - PROcESS AGAIN TO ADD SHIMS. ALSO KING PIN BEARINGS ON KNUcKLE HOUSING HAD TO BE SHIMMED. NO GUIDE LINES ON SERVIcE MARKETING TIMES. ",mfwd king pin bearing broke right side king pin bearing broke jd9036 bearing mfwd noise right mfwd knuckle housing king pin bearing broke fail bearing ruined knuckle housing right hand axle housing r r front axle assembly removed left hand axle housing stripped all differential part from right handhousing removed all part form knuckle housing clean inspect all part install differential housing gear pinion shaft shim all bearing preloads install all seal replace seal in knuckle housing assemble 1500 mfwd assembly install ontractor install tire fender run check for proper operation larry you are probably right on hr being high this be first time to replace a right side housing we have nothing to go on a far a time go take into consideration that right side housing contains differential ring gear pinion in replacing housing new race bearing replaced to get correct shim pack for preload end play differential had to be installed using special tool to determine correct shim pack a discribed in service advisor differential disassembled shim added process again to add shim also king pin bearing on knuckle housing had to be shimmed no guide line on service marketing time,0.0,0,False,0.2631578947368421
81,MFWD Input Nut Loose,  THE FRONT AXLE IS LEAKING,  INPUT SHAFT NUT LOOSEND UP ALLOWINGSHAF T TO WEAR CONTAMINATING OIL WITHMETAL,"  REMOVED AXLE, DISASSEMBLE AND cLEANOUT,  REPLAcED ALL DIFFERENTIALBEARINGS, REPL AcED SHAFTS AND GEARS,REASSEMBLE","  THE FRONT AXLE IS LEAKING   INPUT SHAFT NUT LOOSEND UP ALLOWINGSHAF T TO WEAR CONTAMINATING OIL WITHMETAL   REMOVED AXLE, DISASSEMBLE AND cLEANOUT,  REPLAcED ALL DIFFERENTIALBEARINGS, REPL AcED SHAFTS AND GEARS,REASSEMBLE",front axle is leaking input shaft nut loosend up allowingshaf t to wear contaminating oil withmetal removed axle disassemble and cleanout replaced all differentialbearings repl aced shaft and gear reassemble,0.0,0,False,0.2631578947368421
87,Kingpin - Loose wheel hubs, CHECK MFWD OUT FOR MOVEMENT RH. SIDE," CHECKED RIGHT HAND MFWD COULD SEE MOVEME NT IN HOUSING,REMOVED DUAL WHEEL ASSEMBL Y, REMOVED KNUCKLE SUPPORT AND FOUND BEA RING HAD COM APART THERE WAS NOTHING LEFT, HAD DAMAGE D SUPPORT AND HOUSING, DIAG 3.0 HR"," RAISE FRONT OF TRAcTOR PUT SUPPORT STAND S UNDER FRONT OF TRANSMISSION, REMOVE WH EELS AND FENDERS, REMOVE FRONT DIFF. FRO M UNDER TRAcTOR, TOOK APART HAD TO REPLAcE RIGHT  HAND HOUSING, KING PIN SUPPORT, BEARING S, SEALS, BUSHING, SLEEVE, SHIMS, ONE KI NG PIN, ASSEMBLED AND SET BEARING END PLAY, PUT BAcK UNDER TRAcTOR, PUT WHEELS AND FENDE RS BAcK ON FILL WITH OIL, DROVE TRAcTOR TO LETS SEAL SEAT.REPAIR 30.0 HR 4 KP:R316141"," CHECK MFWD OUT FOR MOVEMENT RH. SIDE  CHECKED RIGHT HAND MFWD COULD SEE MOVEME NT IN HOUSING,REMOVED DUAL WHEEL ASSEMBL Y, REMOVED KNUCKLE SUPPORT AND FOUND BEA RING HAD COM APART THERE WAS NOTHING LEFT, HAD DAMAGE D SUPPORT AND HOUSING, DIAG 3.0 HR  RAISE FRONT OF TRAcTOR PUT SUPPORT STAND S UNDER FRONT OF TRANSMISSION, REMOVE WH EELS AND FENDERS, REMOVE FRONT DIFF. FRO M UNDER TRAcTOR, TOOK APART HAD TO REPLAcE RIGHT  HAND HOUSING, KING PIN SUPPORT, BEARING S, SEALS, BUSHING, SLEEVE, SHIMS, ONE KI NG PIN, ASSEMBLED AND SET BEARING END PLAY, PUT BAcK UNDER TRAcTOR, PUT WHEELS AND FENDE RS BAcK ON FILL WITH OIL, DROVE TRAcTOR TO LETS SEAL SEAT.REPAIR 30.0 HR 4 KP:R316141",check mfwd out for movement rh side checked right hand mfwd could see moveme nt in housing removed dual wheel assembl y removed knuckle support and found bea ring had com apart there wa nothing left had damage d support and housing diag 3.0 hr raise front of tractor put support stand s under front of transmission remove wh eel and fender remove front diff fro m under tractor took apart had to replace right hand housing king pin support bearing s seal bushing sleeve shim one ki ng pin assembled and set bearing end play put back under tractor put wheel and fende r back on fill with oil drove tractor to let seal seat.repair 30.0 hr 4 kp r316141,0.0,0,False,0.2631578947368421
89,Kingpin - Loose wheel hubs, Visible loose front wheel. ," Was found damaged bearings JD8130, JD7446. Low quality parts. ",  Removed and Replaced paRts. Tested.," Visible loose front wheel.   Was found damaged bearings JD8130, JD7446. Low quality parts.    Removed and Replaced paRts. Tested.",visible loose front wheel wa find damage bearing jd8130 jd7446 low quality part remove and replaced part test,0.75,Wheel Hub Bearing Loose,False,0.2631578947368421
