Failure Mode Original,CMPLNT_TXT,CAUSE_TXT,CORRECT_TXT
Cracked Housing, broken housing of the gearbox , stuck gear and that led to damage of the internal parts and housing ,  Replacement
Internal Gearcase Failure - Primary failed part unknown, Customer complains there is a knockingco ming from the front end.," Found that the noise was coming fromthe right top king pin. Pulled frontduals of f. Took king pin off, foundthat the bear ing was out."," TRactoR came in the shop foR knock infRo nt end. DRove tRactoR in paRkinglot coul d not heRe noise. WhiledRiving tRactoR i n shopanothe Rtechnician heaRd the noise. Hadsomeone dRiving tRactoR while I walkednext to it . Found that the noise wascoming fRom th e Right top king pin.Pulled fRont duals off. Took ki ng pinoff, found that the beaRing was ou t.The beaRing was in pieces, and woRnint o the axle housing. I could nottell the diffeRence between the beaRingRace and axle housing . Made DTAc case#11773798. Remove left s ide hub tocheck otheR side. OtheR side was fine. Removed fRont axle. Removed the leftside  axle housing fRom the Rightsideaxle hou sing. Remove diffeRential andpinion fRom axle housing , and installedin new axle housing. Repl aced top andbottom kingpins and beaRings . Put axlehousing back to gatheR. Installed ne wpivot bushing on axle housing.Installed  fRont axle. Installed lefthub. Installe d Right side hub andmeasuRed my shim pack, added shim s andinstalled loweR king pin. Installed steeRing cylindeR and lines. InstalledfR ont tiRes, and toRqued. customeRalso said that theR e weRe codes andheateR not woRking Right . checkedcodes and cleaRed. Downloaded n ewsoftwaRe. DRove tRactoR and codes didnot RetuRn. G ot tRactoR waRmed tuRnheat on and checke dtempeRatuRe with aheat gun. The tempeRa tuRe coming outof the vents was a slight higheR than the tempeRatuRe was set at."
Loose Bolt,  LEAKING LH AND RH HUB SEALS,  WHEEL NUT ON HUB HAS UNDONE ITSELF DUE TO NO LOCK BOLT,"  NOTE - KNUcKLE HOUSING R259482 AND PINION R310678 WERE NOT IN STOcK IN AUSTRALIA AT THE TIME OF THE FAILURE. WE cANNIBALIZED A STOcKMAcHINE TO REPAIR THIS MAcHINE HENcE WHY THERE IS A DOUBLE UP OF SEALS AND LABOUR.INSPEcTED LEAK, REMOVED LEFT HAND WHEEL & FOUNDHUB HAD FALLEN OFF WITH WHEEL. FOUND WHEEL NUT HAD cOME UNDONE. REMOVED cOMPLETE KNUcKLE HOUSING. DISASSEMBLED RIGHT HAND SIDE TO INSPEcT LEAK AT KNUcKLE HOUSING. PARTS N/A AT TIME OF REPAIR. REMOVED PARTS FROM STOcK MAcHINE. INSTALLED NEW SEAL ON NEW HUB SHAFT. INSTALLED HUB ASSEMBLY TO LEFT HAND SIDE. REPLAcED SEALS IN RIGHT HAND SIDE & REASSEMBLED RIGHT HAND HUB. TENSIONED & FILLED WITH OIL. INSTALLED NEW PARTS BAcK ONTO STOcK MAcHINE. REPLAcED HUB, WHEEL BEARINGS, ALL PLANETARY GEARS & INSTALLED NEW SEALS. ASSEMBLEDHUB. INSTALLED PINION SHAFT & TENSION PLANETARY GEARS BOTLS, FILLED WITH OIL & REINSTALLED WHEEL. ADJUSTED AXLE OIL LEVEL."
Differential Bearing Vibration,  MFWD NOISE WHEN TURNING **POWERGARD WARRANTY**,  DIFFERENTIAL LIMITED SLIP SET TOO TIGHT AND POPS AND BANGS IN TIGHT TURN.,"  cHANGED DIFFERENTIAL OIL 1ST TO SEE IF NOISE GOES AWAY AND DOESNT. REMOVED RIGHT FRONT TIRE, FENDER, AXLE AND REMOVE DIFFERENTAL--DI SASSEMBLED DIFF AND LOOK AT LIMITED SLIP DISKS AND REASSEMBLED AND cHEcKED ENDPLAY-ENDPLAY WAS TOO TIGHT, REMOVED SHIMS AND ADJUSTED TO SPEc AND REASSEMBLED BAcK TOGETHER AND TEST DROVE. WORKS BETTER NOW."
Internal Gearcase Failure - Primary failed part unknown, LOUD POPPING SOUND FROM FRONT OF TRACTOR WHEN MFWD IS ENGAGED , BROKEN TEETH ON RING GEAR - RE299256 ....THE LOAD MARKING ON THE TEETH ON THE RING GEAR APPEARED TO BE TOWARDS THE INSIDE OF THE TOOTH (NOT AT THE CENTER AS SPECIFIED IN SERVICE ADVISOR) THE TECH SUSPECTED THE SHIM PACK HAD NOT BEEN PROPERLY INSTALLED AT THE FACTORY. PICTURES WERE SUBMITTED OT DTAC AND DTAC AGREED THE GEAR TEETH WERE BEING LOADED ON THE FRONT DIFFERENTIAL. ENGINEERING ISSUEDRGA 000000000100336889 FOR THE RETURN OF THE PARTS. ," THE TEcHNIcIAN DROVE TO THE MAcHINE LOcATION, INSPEcTED THE TRAcTOR, TEST DROVE THE TRAcTOR, INSPEcTED THE AXLES, cHEcKED FOR LEAKSAT THE FINALS AND HUBS. DURING THE TEST DRIVE THE TEcH NOTIcED THE THUMPING SOUND WAS MOST NOTIcEABLE AT HIGH GROUND SPEEDS (SPEED 8AND HIIGHER) BUT ONLY WITH THE MFWD ENGAGED. THE NOISE cOULD ALSO BE HEARD IN REVERSE AND AT LOWER SPEEDS BUT THE SOUND WAS NOT ASLOUD. THE TEcH FOUND THAT AS SOON AS THE MFWD SWITcH WAS DISENGAGED (REGARDLESS OF SPEED OR DIREcTION) THE THUMPING IS NO LONGER EVIDENT. THE TEcH DRAINED SOME OIL FROM THE DIFFERENTIAL AND BOTH HUBS; THE OIL DID NOT cONTAIN ANY METAL DEBRIS. THE DRIVE SHAFT AND UJOINTS APPEARED TO BE IN GOOD cONDITION. THE FRONT WHEELS WERE TIGHT. THE TEcH SUBMITTED DTAc cASE 13999278 FOR ADVIcE. DTAc SUGGESTED USING A HEAT GUN TO MEASURE TEMPERATURES AT THE BEARINGS, FINAL DRIVES, cENTER SEcTION AND UJOINTS. THEY ALSO SUGGESTED THE TEcHDRAIN THE OIL FROM THE FINAL DRIVES AND THE cENTER SEcTION TO LOOK FOR DEBRIS IN THE OIL. THE TEcH TOOK THE TEMPERATURE READINGS AND REPORTED TO THEM TO DTAc. HE DID NOT DRAIN THE OIL BEcAUSE THE TRAcTOR WAS IN A FIELD. THE cUSTOMER AGREED TO BRING THE TRAcTOR TOTHE SHOP FOR FURTHER EVALUATION AND REPAIR. (4.7 HRS)AT THE DEALERSHIP THE TEcH SEcURED THE TRAcTOR AND DISASSEMBLED AS REQUIREDTO REMOVE MFWD AXLE AND DIFFERENTIAL. (16.0 HRS)THE TEcH DISASSEMBLED THE AXLE AND DIFFERENTIAL WHERE HE FOUND BROKEN TEETH ON THERING GEAR. THE TEcH INSPEcTED ALL THE GEARS AND BEARINGS FOR DAMAGE. THE TEcH ORDERED NEW GEARS, BEARINGS, SHIMS AND WASHERS TO REPLAcE ALL THAT WERE DAMAGED. THE TEcH INSTALLED A NEW RING GEAR WITH PINION AND REBUILT THE FRONT END USING THE NEW GEARS, BEARINGS AND SHIMS. THE TEcH cONSULTED WITH DTAc THROUGH OUT THE REBUILD PROcESS TO MAKE SURE THE RING AND PINION BAcKLASH WAS ADJUSTED cORREcTLY AND THE ROLLING DRAG SPEcIFIcATIONS WERE SET PROPERLY. (6.1 HRS)THE TEcH FILLED THE FINAL DRIVES AND cENTER WITH OIL, REINSTALLED THE DIFFERENTIAL AND MFWD AXLE, THEN REASSEMBLED THE TRAcTOR IN REVERSE ORDER, TIGHTENING THE WHEEL BOLTS TO SPEcIFIcATION. (16.1 HRS)THE TEcH TESTED THE TRAcTOR FOR OPERATION AT ALL SPEEDS WITH AND WITH THE MFWD ENGAGED. THE THUMPING AND POPPING WERE GONE.(.4 HR) "
Internal Gearcase Failure - Primary failed part unknown, CHECK FOR NOISE IN FRONT END ," PULLED FRONT RIGHT WHEELS AND HUB OFF - FOUND FRONT HUB LOW IN OIL AND METAL SHAVINGS.PULLED LEFT SIDE WHEELS AND HUB PULLED FRO NT DIFFERENTIAL OFF AND THEN PULLED APART AND FOUND DAMAGED RING GEAR AND PINION ALSO BEARINGS - DAMAGED.INSPECTED FRONT DIFFERENT IAL DAMAGE.STARTED PULLING DIFFERENTIAL APARTPULLED LEFT AXLE APART ,THE BEARING SUPPORTS AND ALSO DISASSEMBLED THE HUB AND PISTON IN ORDER TO RESEAL AXLE.DISASSEMBLED RIGHT AXLE HOUSING BOLTS OFF FRONT COVER HAD TO HEAT BOLTS UP WITH BLOW TORCH.INSTALLED RIG HT HAND AXLE HOUSING ON STAND INSTALLED NEW SHIM'S AND CARRIER ON RIGHT HAND AXLE. AND ALSO CHECKED ROLLING DRAG .INSTALLED DIFFE RENTIAL ON TRACTOR AND ALSO INSTALLED LEFT MFWD HUB ON AXLE/ INSTALLED NEW SEALS ON HUB AND AXLE. DURING TEST DRIVE FOUND STEERING SENSOR ON AXLE NOT READING AND SETTING OFF CODESREPLACED STEERING SENSOR AND CLEARED CODES "," PULLED FRONT RIGHT WHEELS AND HUB OFF - FOUND FRONT HUB LOW IN OIL AND METAL SHAVINGS.PULLED LEFT SIDE WHEELS AND HUB PULLED FRO NT DIFFERENTIAL OFF AND THEN PULLED APART AND FOUND DAMAGED RING GEAR AND PINION ALSO BEARINGS - DAMAGED.INSPEcTED FRONT DIFFERENT IAL DAMAGE.STARTED PULLING DIFFERENTIAL APARTPULLED LEFT AXLE APART ,THE BEARING SUPPORTS AND ALSO DISASSEMBLED THE HUB AND PISTON IN ORDER TO RESEAL AXLE.DISASSEMBLED RIGHT AXLE HOUSING BOLTS OFF FRONT cOVER HAD TO HEAT BOLTS UP WITH BLOW TORcH.INSTALLED RIG HT HAND AXLE HOUSING ON STAND INSTALLED NEW SHIM'S AND cARRIER ON RIGHT HAND AXLE. AND ALSO cHEcKED ROLLING DRAG .INSTALLED DIFFE RENTIAL ON TRAcTOR AND INSTALLED LEFT MFWD HUB ON AXLE / INSTALLED NEW SEALS ON HUB AND AXLE. DURING TEST DRIVE FOUND STEERING SEN SOR ON AXLE NOT READING AND SETTING OFF cODESREPLAcED STEERING SENSOR AND cLEARED cODES TEST DROVE UNIT/cHEcKED FOR NOISES/NONE DE TEcTED/ALL OPERATING PROPERLY. RELEASED. "
Differential Bearing Vibration,  GRINDING IN MFWD,"  TEST DROVE UNIT AND WAS ABLE TO HEAR NOISE IN MFWD. BROUGHT UNIT BACK IN SHOP, RAISED UNIT AND CHECKED MFWD. FOUND THE CONE BEARING INSIDE THE MFWD COVER HAD BROKEN, CAUSING THE FAILURE",  Loosen MFWD dRive shaft shield clamps and Remove shield.Disconnect batteRy gRound cable fRom ReaR of tRansmission.Remove MFWD sh aft snap Ring and slide shaft foRwaRd to disengage fRom MFWD clutch.Raise tRactoR and install JT05725 UniveRsal SuppoRt Stand unde R fRont of tRansmission.Remove wheels and fendeRs.Disconnect and plug steeRing hoses.Install lift stRaps thRough knuckle-spind le assembly and install JDG23 Lift Sling on hoist and attach stRaps to lift sling.Remove eight axle suppoRt cap scRews and loweR a xle fRom undeR tRactoR.Removed coveR and Replace damaged beaRings and Races.Assemble in ReveRse oRdeR.
Broken Pinion Bolt,  Blocking of the final drive because of broken bolt in it,  Part RE556205 - the cap screw R171856 was torn and the planet pinion R228144 fell and blocked RE556205,"  Diagnostics and RepaiR - RepaiR of the final dRive. Assembly of seal RE299899, assembly of beaRing JD9152 on both sides of R239246, placing JD9083, assembly of geaR R217064 in the Ring geaR R229687 and fixation with R99673, fastening the nut R171858. AfteR that we made six Revolutions of the geaR and checked again the nut tightening. Next, fixation with bolt R91842, assembly of pinion R310678 and fixation with a snap Ring R286277.In RE556205 we assembly R332855, we placed the planet pinion R228144 and put the beaRings R121283 followed by R290736 and fasten bolts R171856, we placed seal R87047 and the planet pinion RE556205. We fixed the planet pinion R228144 in such a way as to close the geaR, we fastened the bolts 19M8011 and Refilled the geaR with oil to the contRol line."
Differential Bearing Vibration, CUSTOMER COMPLAINED OF MFWD MAKING NOISE IN FRONT END. , BEARING WORN ON RING AND PINION. ," Upon inspection tech dRove aRound and heaRd noise, pulled in shop and jacked fRont end up to tuRn tiRes and found that the Ring andpinion was knocking. Removed fRont axle fRom tRactoR and took it apaRt and found that a beaRing on the diffeRential caRRieR had gone out and caused it to walk oveR. Replaced all the beaRings in axle and shimmed it up and put it back tigetheR. put axle back undeR tRactoR and hooked it up. toRqued pinion bolt and put knock in plug in and filled it up with oil. hooked up steeRing lines and dRove it aRound. Tech then tested machine and found that it was woRking coRRectly and noise was gone. Machine fixed."
Internal Gearcase Failure - Primary failed part unknown, MFWD QUIT PULLING - MAKING NOISE , SPUR GEAR DRIVE SHAFT BEARING BURNED UP ," RE307077 ROLLER BEARING -- TRAcTOR cAME TO SHOP WITH cOMPLAINT OF MFWD QUIT PULLING & MAKING NOISE - OIL WAS LEAKING FROM DRIVE SHAFT SEAL -- cLEANING MFWD TO RUN & cHEcK FOR NOISE & DIAGNOSE - FOUND MFWD DRIVE SHAFT SEAL LEAKING & NOISE cOMING FROM INSIDE MFWD HOUSING. TRAcTOR HAS FRONT DUALS THAT HAD TO BE REMOVED. REMOVED MFWD ASSEMBLY FROM TRAcTOR & ATTAcHED TO ROLL OVER STAND FOR DISASSEMBLY & INSPEcTION. FOUND DRIVE SHAFT BEARING BURNED UP & SHAFT SEAL LEAKING. MFWD DRIVE SHAFT GEAR WAS ScORED ON SHAFT & WOULD NOT cOME OFF EASILY. DRIVE SHAFT BEARING, GEAR & SHAFT RUINED. REMOVED RING GEAR & PINION. PINION DRIVE GEAR, PINION SHAFT & RING GEAR RUINED FROM LAcK OF OIL BEcAUSE OF LEAKING SEAL, METAL IN ALL BEARINGS & RAcES. REMOVED ALL PARTS FROM MFWD HOUSING - cLEANED & INSPEcTED. REPLAcED RAcES IN HOUSING. INSTALLED BEARING ON PINION DRIVE SHAFT. ASSEMBLED MFWD RING GEAR & PINION, BEARINGS & RAcES PER SERVIcE ADVISOR TM. ASSEMBLE SPEcIAL TOOLS ON UNIT & SET BEARING PRELOAD & BAcK LASH.FINISH ASSEMBLING UNIT & ATTAcHED TO TRAcTOR. FILL WITH OIL. RUN & cHEcK MFWD. RETORQUE BOLTS. ASSEMBLE MFWD DUALS & SPAcERS. TORQUE BOLTS. RUN & cHEcK OPERATION. RETORQUE ALL WHEEL BOLTS.R&R HOOD 3.0HRR&R FRONT DUALS 3.0 HRR&R MFWD FENDERS 3.0 HRR&R MFWD ASSEMBLY 8.0REMOVAL OF ScORED GEAR ON DRIVE & DRIVE SHAFT 6.0DISASSEMBLY, INSPEcTION, cLEANING METAL FROM HOUSINGS, ASSEMBLE, ADJUSTING PRELOAD, BAcK LASH, ETc, REMOVAL OF RAcES FROM HOUSINGS & INSTALLATION, DRIVE SHAFT & GEARPIVOT SUPPORT BUSHING 30.00 "
Internal Gearcase Failure - Primary failed part unknown, background noise in field of the front axle gearbox; high temperature of the gearbox , during diagnostic (disassembly and visual inspection) was detected metal shavings in the oil; breakage of the gear led to damage of the other parts ,  Replacement of the failuRe paRts
